Model already exists: ../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/zhaotong/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/zhaotong/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 1 | Loss:   1.6172 | w0: 1.0000 | r0: 0.5293 | st0: 1.0454 | sd0: 1.0088 | gamma0: 0.000000 | gamma_off | lr : 0.18118068 
Step: 2 | Loss: 108.7737 | w0: 1.0000 | r0: 0.1414 | st0: 0.9094 | sd0: 0.9975 | gamma0: 0.000000 | gamma_off | lr : 0.18118068 
tick 2     kimg 2.1       time 1m 48s       sec/tick 47.8    sec/kimg 46.71   maintenance 0.0    gpumem 24.71  reserved 25.34 
Step: 0 | Loss:   2.1409 | w0: 1.0000 | r0: 0.1998 | st0: 0.8203 | sd0: 0.9977 | gamma0: 0.000000 | gamma_off | lr : 0.18002976 
Step: 1 | Loss:   0.6077 | w0: 1.0000 | r0: 0.4906 | st0: 1.0279 | sd0: 1.0053 | gamma0: 0.000000 | gamma_off | lr : 0.18002976 
Step: 2 | Loss:  81.1291 | w0: 1.0000 | r0: 0.1495 | st0: 0.8996 | sd0: 0.9958 | gamma0: 0.000000 | gamma_off | lr : 0.18002976 
Step: 0 | Loss:  30.2227 | w0: 1.0000 | r0: 0.2457 | st0: 0.8171 | sd0: 0.9919 | gamma0: 0.000000 | gamma_off | lr : 0.17884880 
Step: 1 | Loss:   2.2376 | w0: 1.0000 | r0: 0.4505 | st0: 1.0111 | sd0: 1.0030 | gamma0: 0.000000 | gamma_off | lr : 0.17884880 
Step: 2 | Loss: 106.2630 | w0: 1.0000 | r0: 0.1523 | st0: 0.8975 | sd0: 0.9963 | gamma0: 0.000000 | gamma_off | lr : 0.17884880 
Step: 0 | Loss:  44.1337 | w0: 1.0000 | r0: 0.2962 | st0: 0.8146 | sd0: 0.9903 | gamma0: 0.000000 | gamma_off | lr : 0.17763827 
Step: 1 | Loss:   2.8222 | w0: 1.0000 | r0: 0.4154 | st0: 1.0044 | sd0: 1.0040 | gamma0: 0.000000 | gamma_off | lr : 0.17763827 
Step: 2 | Loss: 124.1830 | w0: 1.0000 | r0: 0.1403 | st0: 0.9036 | sd0: 0.9981 | gamma0: 0.000000 | gamma_off | lr : 0.17763827 
Step: 0 | Loss:  26.5920 | w0: 1.0000 | r0: 0.3391 | st0: 0.8129 | sd0: 0.9926 | gamma0: 0.000000 | gamma_off | lr : 0.17639866 
Step: 1 | Loss:   1.7716 | w0: 1.0000 | r0: 0.3688 | st0: 1.0048 | sd0: 1.0077 | gamma0: 0.000000 | gamma_off | lr : 0.17639866 
Step: 2 | Loss:  97.2408 | w0: 1.0000 | r0: 0.1258 | st0: 0.9148 | sd0: 1.0002 | gamma0: 0.000000 | gamma_off | lr : 0.17639866 
Step: 0 | Loss:   6.5972 | w0: 1.0000 | r0: 0.3598 | st0: 0.8118 | sd0: 0.9969 | gamma0: 0.000000 | gamma_off | lr : 0.17513046 
Step: 1 | Loss:   1.6860 | w0: 1.0000 | r0: 0.3214 | st0: 1.0100 | sd0: 1.0119 | gamma0: 0.000000 | gamma_off | lr : 0.17513046 
Step: 2 | Loss:  98.9092 | w0: 1.0000 | r0: 0.1183 | st0: 0.9263 | sd0: 1.0026 | gamma0: 0.000000 | gamma_off | lr : 0.17513046 
Step: 0 | Loss:   3.9780 | w0: 1.0000 | r0: 0.3500 | st0: 0.8113 | sd0: 1.0013 | gamma0: 0.000000 | gamma_off | lr : 0.17383419 
Step: 1 | Loss:   2.5537 | w0: 1.0000 | r0: 0.2813 | st0: 1.0194 | sd0: 1.0143 | gamma0: 0.000000 | gamma_off | lr : 0.17383419 
Step: 2 | Loss: 115.8172 | w0: 1.0000 | r0: 0.1199 | st0: 0.9286 | sd0: 1.0021 | gamma0: 0.000000 | gamma_off | lr : 0.17383419 
Step: 0 | Loss:  11.3387 | w0: 1.0000 | r0: 0.3134 | st0: 0.8112 | sd0: 1.0038 | gamma0: 0.000000 | gamma_off | lr : 0.17251035 
Step: 1 | Loss:   3.4248 | w0: 1.0000 | r0: 0.2615 | st0: 1.0273 | sd0: 1.0145 | gamma0: 0.000000 | gamma_off | lr : 0.17251035 
Step: 2 | Loss: 116.4903 | w0: 1.0000 | r0: 0.1283 | st0: 0.9223 | sd0: 1.0006 | gamma0: 0.000000 | gamma_off | lr : 0.17251035 
Step: 0 | Loss:   8.9179 | w0: 1.0000 | r0: 0.2855 | st0: 0.8111 | sd0: 1.0035 | gamma0: 0.000000 | gamma_off | lr : 0.17115948 
Step: 1 | Loss:   2.6892 | w0: 1.0000 | r0: 0.2650 | st0: 1.0283 | sd0: 1.0130 | gamma0: 0.000000 | gamma_off | lr : 0.17115948 
Step: 2 | Loss: 116.1042 | w0: 1.0000 | r0: 0.1533 | st0: 0.9112 | sd0: 0.9992 | gamma0: 0.000000 | gamma_off | lr : 0.17115948 
